Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
22-Aug-2017,396,385.65,387.85,2609604,10189.576363,1455,
23-Aug-2017,389.9,380.75,382.8,1201788,4604.308286,1627,
24-Aug-2017,387.8,380.3,383.9,1863817,7153.4372065,1892,
28-Aug-2017,388.8,382.75,386.7,1402650,5424.6993145,1643,
29-Aug-2017,387.6,377,380.3,1102703,4206.091691,1903,
30-Aug-2017,385.85,379.6,384.75,838089,3214.5546375,1361,
31-Aug-2017,387.55,367.05,375.2,7483962,28102.9212455,8209,
01-Sep-2017,381.85,375.3,379.7,1242702,4716.9662265,712,
04-Sep-2017,380.6,375.45,377.75,751845,2840.8477785,811,
05-Sep-2017,379.25,368.2,371.85,1819271,6760.943919,1330,
06-Sep-2017,373.5,367.5,371.45,1404720,5210.724368,631,
07-Sep-2017,373.9,368.4,370.15,1122445,4160.3504935,400,
08-Sep-2017,374.65,368.65,370.65,2528475,9371.4210615,960,
11-Sep-2017,372.15,366.5,369.5,731573,2700.797059,733,
12-Sep-2017,370.8,363.65,370.1,2831964,10438.086447,1042,
13-Sep-2017,374.35,366.4,370.65,4210770,15610.4988205,1569,
14-Sep-2017,373.95,368.5,370.05,1571003,5811.072816,480,
15-Sep-2017,382.9,369.65,374,11439738,43057.0951005,5807,
18-Sep-2017,392,374.5,389.1,2752803,10619.4443025,3045,
19-Sep-2017,399.9,388.15,398.3,1956748,7724.8890615,2513,
20-Sep-2017,400.95,393.05,393.95,1469249,5818.3026585,1619,
21-Sep-2017,399.55,386.6,387.65,2118175,8283.1029105,1187,
22-Sep-2017,394.55,385.2,390,1615279,6301.910075,1204,
25-Sep-2017,397.4,387.3,391.35,2575008,10088.5720455,3265,
26-Sep-2017,394,373.85,376.4,1827778,7089.3075645,4046,
27-Sep-2017,386.4,376.25,382.65,2082260,7939.8763855,3964,
28-Sep-2017,395.7,375,392.6,2458127,9520.5322765,4933,
29-Sep-2017,411.7,393.05,398.4,5139940,20640.561915,3262,
03-Oct-2017,410.2,399,408.5,4036851,16470.418876,2220,
04-Oct-2017,419.65,408,416.5,3456681,14323.83908,2637,
05-Oct-2017,413,402.65,404.65,1920244,7796.1671655,2181,
06-Oct-2017,409.9,399,399.95,2028197,8144.50659,1296,
09-Oct-2017,405.95,397.55,398.5,1385786,5555.077756,1452,
10-Oct-2017,404.55,398.5,399.85,2029807,8155.2131655,1291,
11-Oct-2017,414,401.9,410.5,5104904,20923.536086,3437,
12-Oct-2017,438,402.7,432,10400395,44742.01223,11337,
13-Oct-2017,455,432.8,449.95,16946705,75807.007887,8074,
16-Oct-2017,474.25,450.6,471.5,9404756,43377.921908,8471,
17-Oct-2017,482.8,467,479.2,9080336,43222.050639,6951,
18-Oct-2017,482,460.05,461.75,3847393,17922.2307095,4317,
19-Oct-2017,464.4,458.35,460.25,234833,1083.0858055,537,
23-Oct-2017,468.85,445.25,449,3468772,15613.09774,4911,
24-Oct-2017,459.85,437.85,453.3,3495103,15734.9689365,6790,
25-Oct-2017,464.35,450.8,452.15,2720627,12448.521067,6281,
26-Oct-2017,465,436.45,455.4,2343242,10485.944383,10370,
27-Oct-2017,454,415,418.55,4527007,19323.5393385,6298,
30-Oct-2017,435,421.7,429.7,4402673,18845.841443,3825,
31-Oct-2017,448.35,419.2,442.15,5952903,25848.907811,7459,
01-Nov-2017,452,422.4,426.55,3573242,15543.876726,5077,
02-Nov-2017,428.7,415.6,418.65,2632114,11103.701872,3581,
03-Nov-2017,421.3,412.05,413.75,1624837,6770.457058,2303,
06-Nov-2017,429,413,424.05,3603506,15285.4162025,3073,
